고등교육기관 주소록,,,,,,,,,,,,
,,,,,,,,,,,,
* 2018년 10월 1일 기준,,,,,,,,,,,,
"* 일반대학, 교육대학, 산업대학, 방송통신대학교, 기술대학, 각종학교(전문, 대학과정), 사이버대학(전문, 대학과정), 원격대학(전문, 대학과정), 사내대학(전문,대학과정), 전문대학, 기능대학, 전공대학, 일반대학원, 특수대학원, 전문대학원이 포함됨",,,,,,,,,,,,
* 본 자료는 해당기관에서 작성한 자료임,,,,,,,,,,,,
연도,학교종류,시도,학교명,학교명(영문),본분교,학교상태,설립,우편번호,주소,전화번호,팩스번호,홈페이지
2018,특수대학원,부산,부경대학교 글로벌수산대학원,GRADUATE SCHOOL OF GLOBAL FISHERIES,본교,기존,국립,48513,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",051-629-5806       ,5810,gsgf-k.pknu.ac.kr/00main/main.php
2018,전문대학원,부산,부경대학교 과학기술융합전문대학원,Specialized Graduate School Science & Technology Convergence ,본교,기존,국립,48547,"부산광역시 남구 신선로 365 (용당동, 부경대학교용당캠퍼스)",051-629-6862,051-629-6865,cms.pknu.ac.kr/sgsstc/main.do
2018,특수대학원,부산,부경대학교 세계수산대학원,World Fisheries University Pilot Programme,본교,기존,국립,48513,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",051-629-6682,051-629-6677,wfu.pknu.ac.kr
2018,대학교,부산,부산대학교,Pusan National University,본교,기존,국립,46241,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",051-512-0311        ,051-512-3368        ,www.pusan.ac.kr
2018,일반대학원,부산,부산대학교 일반대학원,The Graduate SchooI of PNU,본교,기존,국립,46241,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",051-510-1902      ,051-515-1902     ,graduate.pusan.ac.kr/graduate/index.do
2018,특수대학원,부산,부산대학교 경영대학원,Graduate School of Management,본교,기존,국립,46241,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",051-510-1652        ,051-581-3144       ,cobman.pusan.ac.kr/
2018,특수대학원,부산,부산대학교 교육대학원,Graduate School of Education,본교,기존,국립,46241,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",051-510-1382        ,051-510-7672       ,www.gsedu.pusan.ac.kr
2018,특수대학원,부산,부산대학교 금융대학원,PUSAN NATIONAL UNIVERSITY Graduate School of Finance,본교,신설,국립,46241,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",051-510-1093,051-510-1099,http://his.pusan.ac.kr/gsf/index..do
2018,특수대학원,부산,부산대학교 산업대학원,Graduate School of Industry,본교,기존,국립,46241,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",051-510-1391       ,051-514-0498        ,indu.pusan.ac.kr
2018,특수대학원,부산,부산대학교 행정대학원,Graduate School of Public Administration,본교,기존,국립,46241,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",051-514-0480     ,051-515-6336        ,gspa.pusan.ac.kr
2018,특수대학원,부산,부산대학교 환경대학원,Graduate School of Environment,본교,기존,국립,46241,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",051-510-1391   ,051-514-0498        ,pegr.pusan.ac.kr/pegr/index.do
2018,전문대학원,경남,부산대학교 한의학전문대학원,Pusan National University School of Korean Medicine,본교,기존,국립,50612,"경상남도 양산시 물금읍 부산대학로 49 (범어리, 부산대학교양산캠퍼스)",051-510-8403        ,051-510-8420        ,kmed.pusan.ac.kr
2018,전문대학원,부산,부산대학교 국제전문대학원,Graduate School of International Studies,본교,기존,국립,46241,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",051-510-1663        ,051-581-7144        ,www.gsis.pusan.ac.kr
2018,전문대학원,부산,부산대학교 법학전문대학원,college of law,본교,기존,국립,46241,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",051-510-1574        ,051-515-8648        ,law.pusan.ac.kr
2018,전문대학원,경남,부산대학교 의학전문대학원,school of medicine pusan national university,본교,기존,국립,50612,"경상남도 양산시 물금읍 부산대학로 49 (범어리, 부산대학교양산캠퍼스)",051-510-8004        ,051-510-8026        ,https://medicine.pusan.ac.kr/medicine/index.do
2018,전문대학원,경남,부산대학교 치의학전문대학원,pusan natioanl university school of dentistry ,본교,기존,국립,50612,"경상남도 양산시 물금읍 부산대학로 49 (범어리, 부산대학교양산캠퍼스)",051-510-8206        ,051-510-8210        ,dent.pusan.ac.kr
2018,특수대학원,부산,부산대학교 경제통상대학원,Graduate School of Economics and International Trade Pusan National University,본교,기존,국립,46241,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",051-510-1654    ,051-510-7670        ,geit.pusan.ac.kr
2018,특수대학원,부산,부산대학교 기술창업대학원,Graduate School of Technology Entrepreneurship,본교,기존,국립,46241,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",051-510-1369,051-582-9833,technoent.pusan.ac.kr/technoent/index.do
